Time (s) Run #10,Position (m) Run #10,Velocity (m/s) Run #10,Acceleration (m/s²) Run #10
0.0,1.45,,
0.02,1.45,-0.02,
0.04,1.45,0.09,4.88
0.06,1.45,0.18,1.9
0.08,1.46,0.19,-1.29
0.1,1.46,0.1,-3.39
0.12,1.46,0.0,-3.28
0.14,1.46,-0.04,-1.83
0.16,1.46,-0.06,-0.55
0.18,1.46,-0.06,0.01
0.2,1.46,-0.05,-0.04
0.22,1.46,-0.05,-0.7
0.24,1.46,-0.07,-2.08
0.26,1.45,-0.12,-3.22
0.28,1.45,-0.23,-3.11
0.3,1.45,-0.28,-1.01
0.32,1.44,-0.28,2.33
0.34,1.44,-0.18,5.03
0.36,1.43,-0.04,4.48
0.38,1.43,0.08,-0.23
0.4,1.43,-0.01,-5.09
0.42,1.44,-0.24,-7.32
0.44,1.42,-0.33,-7.23
0.46,1.42,-0.48,-7.41
0.48,1.42,-0.64,-6.41
0.5,1.39,-0.82,-2.55
0.52,1.38,-0.76,0.74
0.54,1.36,-0.67,1.35
0.56,1.35,-0.7,-0.13
0.58,1.33,-0.71,-0.86
0.6,1.32,-0.73,-0.81
0.62,1.3,-0.74,-1.02
0.64,1.29,-0.77,-1.29
0.66,1.27,-0.79,-1.6
0.68,1.26,-0.83,-1.6
0.7,1.24,-0.87,-0.86
0.72,1.22,-0.89,0.65
0.74,1.2,-0.84,1.95
0.76,1.19,-0.78,1.75
0.78,1.17,-0.74,0.01
0.8,1.16,-0.78,-2.07
0.82,1.14,-0.85,-3.1
0.84,1.12,-0.92,-2.86
0.86,1.11,-0.97,-1.81
0.88,1.08,-1.0,0.0
0.9,1.07,-0.99,1.54
0.92,1.05,-0.91,1.6
0.94,1.03,-0.88,-0.13
0.96,1.01,-0.92,-1.97
0.98,0.99,-0.99,-2.17
1.0,0.97,-1.03,-1.21
1.02,0.95,-1.03,-0.1
1.04,0.93,-1.03,0.59
1.06,0.91,-1.01,0.7
1.08,0.89,-0.98,0.6
1.1,0.87,-0.99,0.53
1.12,0.85,-0.97,0.57
1.14,0.83,-0.95,0.58
1.16,0.81,-0.95,0.1
1.18,0.79,-0.94,-0.81
1.2,0.77,-0.97,-1.91
1.22,0.76,-1.03,-2.36
1.24,0.73,-1.09,-1.35
1.26,0.71,-1.1,0.24
1.28,0.69,-1.06,1.02
1.3,0.67,-1.03,0.66
1.32,0.65,-1.04,0.02
1.34,0.63,-1.04,-0.18
1.36,0.61,-1.05,-0.13
1.38,0.59,-1.05,-0.13
1.4,0.57,-1.05,-0.33
1.42,0.54,-1.06,-0.6
1.44,0.52,-1.08,-0.63
1.46,0.5,-1.09,-0.27
1.48,0.48,-1.09,0.38
1.5,0.46,-1.08,0.97
1.52,0.44,-1.05,1.07
1.54,0.41,-1.02,0.48
1.56,0.4,-1.02,-0.48
1.58,0.38,-1.05,-1.1
1.6,0.35,-1.08,-1.17
1.62,0.33,-1.09,-0.83
1.64,0.31,-1.11,-0.25
1.66,0.29,-1.11,0.37
1.68,0.27,-1.09,0.66
1.7,0.24,-1.07,0.45
1.72,0.22,-1.07,0.04
1.74,0.2,-1.08,0.46
1.76,0.18,-1.08,3.2
1.78,0.16,-1.01,8.55
1.8,0.14,-0.76,13.6
1.82,0.12,-0.37,14.14
1.84,0.12,-0.08,100.47
1.86,0.13,0.02,276.23
