"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10"
0.000,1.36,,,0.000,1.42,,,0.000,1.50,,,0.000,1.45,,,0.000,1.48,,,0.000,1.37,,,0.000,1.40,,,0.000,1.41,,,0.000,1.42,,,0.000,1.43,,
0.020,1.36,0.08,,0.020,1.42,0.03,,0.020,1.50,0.22,,0.020,1.45,0.10,,0.020,1.47,-0.36,,0.020,1.37,0.38,,0.020,1.40,-0.08,,0.020,1.41,0.08,,0.020,1.42,-0.01,,0.020,1.43,0.25,
0.040,1.36,0.04,-2.63,0.040,1.42,0.01,-0.89,0.040,1.51,-0.01,-6.15,0.040,1.45,0.10,-0.75,0.040,1.47,-0.20,7.20,0.040,1.38,0.62,3.94,0.040,1.40,-0.02,2.07,0.040,1.41,0.04,-1.77,0.040,1.42,-0.01,1.00,0.040,1.44,0.20,-3.66
0.060,1.36,-0.02,-2.33,0.060,1.42,-0.01,-1.20,0.060,1.50,-0.03,0.68,0.060,1.45,0.07,-2.06,0.060,1.46,-0.08,4.72,0.060,1.41,0.54,-5.67,0.060,1.40,0.00,0.93,0.060,1.41,0.01,-1.15,0.060,1.42,0.03,1.46,0.060,1.45,0.10,-1.61
0.080,1.36,-0.08,-1.27,0.080,1.42,-0.04,-1.38,0.080,1.50,0.08,3.73,0.080,1.45,0.02,-3.31,0.080,1.46,-0.01,2.77,0.080,1.41,0.26,-8.72,0.080,1.40,0.00,0.22,0.080,1.41,-8.07E-4,-0.69,0.080,1.42,0.07,1.00,0.080,1.43,0.09,0.74
0.100,1.36,-0.08,0.12,0.100,1.42,-0.07,-1.32,0.100,1.50,0.21,2.11,0.100,1.46,-0.07,-4.11,0.100,1.46,0.01,1.58,0.100,1.41,0.06,-5.06,0.100,1.40,0.01,0.12,0.100,1.41,-0.01,-0.41,0.100,1.42,0.08,-0.42,0.100,1.45,0.16,0.76
0.120,1.35,-0.06,1.09,0.120,1.42,-0.10,-0.69,0.120,1.51,0.20,-1.18,0.120,1.45,-0.16,-3.77,0.120,1.46,0.04,1.37,0.120,1.41,0.05,0.41,0.120,1.40,0.00,0.48,0.120,1.41,-0.02,0.31,0.120,1.42,0.05,-1.73,0.120,1.45,0.23,-2.07
0.140,1.35,-0.03,1.37,0.140,1.41,-0.11,0.27,0.140,1.51,0.10,-3.19,0.140,1.45,-0.24,-1.94,0.140,1.46,0.06,1.80,0.140,1.41,0.14,1.30,0.140,1.40,0.02,0.55,0.140,1.41,-0.02,1.17,0.140,1.42,-0.01,-1.92,0.140,1.45,0.06,-4.88
0.160,1.35,3.72E-4,1.35,0.160,1.41,-0.08,1.35,0.160,1.51,0.04,-3.07,0.160,1.44,-0.26,0.74,0.160,1.47,0.11,1.99,0.160,1.41,0.23,-3.86,0.160,1.40,0.05,-0.11,0.160,1.41,0.04,1.13,0.160,1.42,-0.05,-0.78,0.160,1.46,-0.05,-5.12
0.180,1.35,0.03,1.53,0.180,1.41,-0.05,0.82,0.180,1.51,-0.02,-2.13,0.180,1.44,-0.20,2.81,0.180,1.47,0.16,1.29,0.180,1.42,0.04,-9.57,0.180,1.40,0.03,-1.17,0.180,1.41,0.07,-0.76,0.180,1.42,-0.05,0.86,0.180,1.45,-0.14,-2.34
