Time (s) Run #1,Position (m) Run #1,Velocity (m/s) Run #1,Acceleration (m/s²) Run #1,Time (s) Run #2,Position (m) Run #2,Velocity (m/s) Run #2,Acceleration (m/s²) Run #2,Time (s) Run #3,Position (m) Run #3,Velocity (m/s) Run #3,Acceleration (m/s²) Run #3,Time (s) Run #4,Position (m) Run #4,Velocity (m/s) Run #4,Acceleration (m/s²) Run #4,Time (s) Run #5,Position (m) Run #5,Velocity (m/s) Run #5,Acceleration (m/s²) Run #5,Time (s) Run #6,Position (m) Run #6,Velocity (m/s) Run #6,Acceleration (m/s²) Run #6,Time (s) Run #7,Position (m) Run #7,Velocity (m/s) Run #7,Acceleration (m/s²) Run #7,Time (s) Run #8,Position (m) Run #8,Velocity (m/s) Run #8,Acceleration (m/s²) Run #8,Time (s) Run #9,Position (m) Run #9,Velocity (m/s) Run #9,Acceleration (m/s²) Run #9,Time (s) Run #10,Position (m) Run #10,Velocity (m/s) Run #10,Acceleration (m/s²) Run #10
0.0,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,1.54,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.04,1.54,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.06,1.54,0.00032,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.08,1.54,0.0,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,1.54,0.0,-0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.12,1.53,0.0,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.14,1.53,0.0,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.16,1.53,0.0,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.18,1.53,0.0,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,1.53,0.0,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.22,1.53,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.24,1.53,0.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.26,1.53,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.28,1.53,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,1.53,0.00032,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.32,1.53,0.0,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.34,1.53,0.0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.36,1.53,0.0,-0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.38,1.53,-0.01,-0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,1.53,-0.02,-0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.42,1.53,-0.02,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.44,1.53,-0.03,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.46,1.53,-0.03,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.48,1.53,0.03,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,1.53,0.06,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.52,1.54,-0.01,-3.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.54,1.53,-0.08,-5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.56,1.53,-0.22,-9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.58,1.53,-0.39,-12.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,1.51,-0.78,-12.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.62,1.5,-0.99,-11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.64,1.46,-1.16,-10.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.66,1.46,-1.37,-12.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.68,1.41,-1.67,-10.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7,1.39,-1.94,-6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.72,1.34,-1.83,-3.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.74,1.3,-1.94,-6.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
