Time (s) Run #2,Position (m) Run #2,Velocity (m/s) Run #2,Acceleration (m/s²) Run #2
0.0,1.45,,
0.02,1.47,1.07,
0.04,1.49,0.54,-24.02
0.06,1.49,0.1,-18.97
0.08,1.49,-0.24,-13.14
0.1,1.48,-0.43,-6.57
0.12,1.47,-0.5,-0.26
0.14,1.46,-0.42,4.31
0.16,1.45,-0.28,6.03
0.18,1.45,-0.14,4.83
0.2,1.45,-0.07,2.55
0.22,1.45,-0.06,1.14
0.24,1.44,-0.05,1.14
0.26,1.44,-0.01,1.57
0.28,1.44,0.02,5.04
0.3,1.45,0.05,7.52
0.32,1.44,0.49,3.51
0.34,1.45,0.43,-6.83
0.36,1.5,0.07,-14.53
0.38,1.44,-0.35,-8.97
0.4,1.46,-0.48,1.16
0.42,1.45,-0.1,7.1
0.44,1.44,-0.04,3.36
0.46,1.45,0.07,-6.94
0.48,1.45,-0.24,-15.53
0.5,1.44,-0.73,-19.11
0.52,1.42,-1.11,-15.65
0.54,1.4,-1.36,-10.29
0.56,1.36,-1.49,-6.14
0.58,1.33,-1.58,-3.81
0.6,1.3,-1.62,-3.39
0.62,1.27,-1.69,-4.08
0.64,1.23,-1.79,-5.05
0.66,1.2,-1.9,-5.52
0.68,1.16,-2.01,-6.02
0.7,1.12,-2.13,-6.71
0.72,1.07,-2.29,-6.84
0.74,1.03,-2.44,-5.57
0.76,0.97,-2.53,-3.11
0.78,0.92,-2.56,-1.05
0.8,0.87,-2.54,-0.48
0.82,0.82,-2.55,-1.57
0.84,0.77,-2.59,-3.22
0.86,0.72,-2.69,-3.94
0.88,0.66,-2.78,-3.45
0.9,0.61,-2.83,-2.37
0.92,0.55,-2.87,-2.0
0.94,0.49,-2.9,-2.43
0.96,0.43,-2.96,-2.94
0.98,0.37,-3.03,-3.04
1.0,0.31,-3.09,2.59
1.02,0.25,-3.14,15.97
1.04,0.19,-2.54,138.31
1.06,0.12,-1.65,356.6
