Time (s) Run #1,Position (m) Run #1,Velocity (m/s) Run #1,Acceleration (m/s²) Run #1,Time (s) Run #2,Position (m) Run #2,Velocity (m/s) Run #2,Acceleration (m/s²) Run #2,Time (s) Run #3,Position (m) Run #3,Velocity (m/s) Run #3,Acceleration (m/s²) Run #3,Time (s) Run #4,Position (m) Run #4,Velocity (m/s) Run #4,Acceleration (m/s²) Run #4,Time (s) Run #5,Position (m) Run #5,Velocity (m/s) Run #5,Acceleration (m/s²) Run #5,Time (s) Run #6,Position (m) Run #6,Velocity (m/s) Run #6,Acceleration (m/s²) Run #6,Time (s) Run #7,Position (m) Run #7,Velocity (m/s) Run #7,Acceleration (m/s²) Run #7,Time (s) Run #8,Position (m) Run #8,Velocity (m/s) Run #8,Acceleration (m/s²) Run #8,Time (s) Run #9,Position (m) Run #9,Velocity (m/s) Run #9,Acceleration (m/s²) Run #9,Time (s) Run #10,Position (m) Run #10,Velocity (m/s) Run #10,Acceleration (m/s²) Run #10
0.0,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,1.36,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.04,1.36,0.04,-2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.06,1.36,-0.02,-2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.08,1.36,-0.08,-1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,1.36,-0.08,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.12,1.35,-0.06,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.14,1.35,-0.03,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.16,1.35,0.000372,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.18,1.35,0.03,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,1.35,0.05,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.22,1.36,0.1,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.24,1.36,0.15,-0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.26,1.36,0.09,-3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.28,1.37,-0.03,-3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,1.36,-0.12,-1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.32,1.36,-0.09,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.34,1.36,-0.03,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.36,1.36,0.0,6.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.38,1.36,0.02,10.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,1.36,0.58,6.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.42,1.36,0.69,-3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.44,1.42,0.15,-7.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.46,1.37,0.07,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.48,1.36,0.35,7.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,1.43,0.77,-2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.52,1.41,0.3,-13.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.0,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.02,1.42,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.04,1.42,0.01,-0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.06,1.42,-0.01,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.08,1.42,-0.04,-1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.1,1.42,-0.07,-1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.12,1.42,-0.1,-0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
