Time (s) Run #5,Position (m) Run #5,Velocity (m/s) Run #5,Acceleration (m/s²) Run #5
0.0,1.53,,
0.02,1.53,0.0,
0.04,1.53,-0.01,-0.36
0.06,1.53,-0.01,-0.15
0.08,1.53,-0.01,-0.07
0.1,1.53,-0.01,-0.09
0.12,1.53,-0.02,-0.09
0.14,1.53,-0.02,-0.02
0.16,1.53,-0.02,0.07
0.18,1.53,-0.01,0.13
0.2,1.53,-0.01,0.14
0.22,1.53,-0.01,0.11
0.24,1.52,-0.01,0.09
0.26,1.52,0.0,0.06
0.28,1.52,0.0,-0.02
0.3,1.52,0.0,-0.27
0.32,1.52,-0.01,-0.63
0.34,1.52,-0.03,-1.29
0.36,1.52,-0.05,-1.79
0.38,1.52,-0.12,-1.47
0.4,1.52,-0.14,-1.09
0.42,1.51,-0.12,-2.94
0.44,1.52,-0.18,-8.15
0.46,1.51,-0.43,-13.18
0.48,1.5,-0.81,-13.9
0.5,1.48,-1.07,-10.24
0.52,1.45,-1.2,-6.4
0.54,1.43,-1.26,-5.25
0.56,1.4,-1.38,-5.4
0.58,1.38,-1.52,-4.74
0.6,1.34,-1.59,-3.22
0.62,1.31,-1.62,-2.69
0.64,1.28,-1.67,-3.6
0.66,1.24,-1.77,-4.63
0.68,1.21,-1.88,-4.87
0.7,1.17,-1.96,-4.51
0.72,1.13,-2.06,-4.01
0.74,1.09,-2.13,-3.29
0.76,1.04,-2.19,-2.38
0.78,1.0,-2.22,-1.82
0.8,0.95,-2.25,-1.78
0.82,0.91,-2.29,-2.04
0.84,0.86,-2.34,-2.21
0.86,0.82,-2.38,-2.08
0.88,0.77,-2.43,-1.92
0.9,0.72,-2.45,-2.04
0.92,0.67,-2.5,-2.31
0.94,0.62,-2.56,-2.2
0.96,0.57,-2.6,-1.44
0.98,0.51,-2.62,-0.89
1.0,0.46,-2.61,-1.15
1.02,0.41,-2.65,-1.92
1.04,0.36,-2.7,-2.59
1.06,0.3,-2.75,-1.47
1.08,0.25,-2.82,172.68
1.1,0.19,-2.71,549.32
