"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10"
0.000,1.54,,,0.000,1.45,,,0.000,1.48,,,0.000,1.54,,,0.000,1.53,,,0.000,1.49,,,0.000,1.41,,,0.000,1.45,,,0.000,1.49,,,0.000,1.45,,
0.020,1.54,0.00,,0.020,1.47,1.07,,0.020,1.44,-0.26,,0.020,1.54,-0.01,,0.020,1.53,0.00,,0.020,1.48,0.33,,0.020,1.41,0.08,,0.020,1.45,-0.01,,0.020,1.49,-0.03,,0.020,1.45,-0.02,
0.040,1.54,0.00,0.01,0.040,1.49,0.54,-24.02,0.040,1.47,0.24,16.28,0.040,1.54,-0.01,1.03,0.040,1.53,-0.01,-0.36,0.040,1.50,0.25,-4.76,0.040,1.41,0.03,-1.78,0.040,1.45,0.00,0.30,0.040,1.49,-0.02,0.72,0.040,1.45,0.09,4.88
0.060,1.54,3.20E-4,-0.03,0.060,1.49,0.10,-18.97,0.060,1.47,0.39,1.99,0.060,1.54,0.03,0.54,0.060,1.53,-0.01,-0.15,0.060,1.50,0.14,-5.67,0.060,1.41,0.00,-0.78,0.060,1.45,0.01,0.09,0.060,1.48,0.00,0.48,0.060,1.45,0.18,1.90
0.080,1.54,0.00,-0.05,0.080,1.49,-0.24,-13.14,0.080,1.48,0.12,-3.96,0.080,1.54,0.05,-0.82,0.080,1.53,-0.01,-0.07,0.080,1.50,-0.02,-5.23,0.080,1.41,0.00,0.06,0.080,1.45,0.00,-0.02,0.080,1.49,0.01,-0.02,0.080,1.46,0.19,-1.29
0.100,1.54,0.00,-0.04,0.100,1.48,-0.43,-6.57,0.100,1.48,0.10,-3.14,0.100,1.54,0.00,-2.04,0.100,1.53,-0.01,-0.09,0.100,1.50,-0.08,-3.81,0.100,1.41,0.01,0.94,0.100,1.45,0.00,0.05,0.100,1.49,8.47E-4,-0.47,0.100,1.46,0.10,-3.39
0.120,1.53,0.00,-0.01,0.120,1.47,-0.50,-0.26,0.120,1.48,0.06,-0.56,0.120,1.54,-0.07,-1.45,0.120,1.53,-0.02,-0.09,0.120,1.50,-0.16,-1.57,0.120,1.41,0.03,1.52,0.120,1.45,0.00,0.18,0.120,1.49,-0.02,-0.71,0.120,1.46,0.00,-3.28
0.140,1.53,0.00,-0.01,0.140,1.46,-0.42,4.31,0.140,1.48,0.08,-0.18,0.140,1.54,-0.09,0.17,0.140,1.53,-0.02,-0.02,0.140,1.49,-0.18,1.41,0.140,1.41,0.09,0.47,0.140,1.45,0.01,0.23,0.140,1.48,-0.02,-1.05,0.140,1.46,-0.04,-1.83
0.160,1.53,0.00,-0.02,0.160,1.45,-0.28,6.03,0.160,1.48,0.07,-0.48,0.160,1.54,-0.03,1.08,0.160,1.53,-0.02,0.07,0.160,1.49,-0.11,4.39,0.160,1.41,0.11,-2.13,0.160,1.45,0.02,0.26,0.160,1.48,-0.05,-1.96,0.160,1.46,-0.06,-0.55
0.180,1.53,0.00,-0.03,0.180,1.45,-0.14,4.83,0.180,1.48,0.06,-1.64,0.180,1.54,-0.02,1.03,0.180,1.53,-0.01,0.13,0.180,1.49,0.04,4.84,0.180,1.42,-0.01,-2.69,0.180,1.46,0.02,0.37,0.180,1.48,-0.10,-3.00,0.180,1.46,-0.06,0.01
