Average monthly temperatures in Dubuque, Iowa, 
January 1964 through December 1975, n=144

	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
1964   -4.06   -3.5   -0.78   8.61   17.17   20.28   23.17   19.94   16.17   9.17   4.22   -6.67   
1965   -8.83   -7.17   -4.33   7.44   16.28   19.17   22.28   20.22   15.67   10.5   3.0   -0.5   
1966   -12.0   -5.78   3.0   7.06   11.78   20.0   23.17   20.11   15.94   10.11   2.89   -4.11   
1967   -5.83   -9.61   1.67   9.06   12.22   20.11   20.89   18.72   16.0   9.5   0.67   -3.33   
1968   -7.17   -6.33   4.56   10.0   12.94   19.83   21.5   21.28   15.89   10.39   2.11   -6.28   
1969   -10.0   -4.39   -1.44   8.11   14.78   16.78   22.28   22.06   16.61   8.67   1.22   -6.44   
1970   -13.11   -7.22   -0.33   9.28   16.44   20.06   22.33   21.44   16.94   11.5   2.61   -4.56   
1971   -11.56   -6.67   -1.33   8.72   13.22   22.89   20.0   19.5   18.28   13.94   3.11   -2.39   
1972   -10.33   -8.22   -0.67   6.5   16.83   19.11   21.22   22.0   16.72   7.78   0.39   -8.17   
1973   -5.28   -3.5   5.72   7.33   13.06   20.5   22.39   22.39   16.94   13.11   3.33   -6.44   
1974   -8.0   -6.39   1.22   9.56   12.67   17.67   23.33   19.5   14.28   10.44   2.67   -3.61   
1975   -6.44   -6.89   -4.11   5.17   16.56   20.28   22.22   21.72   14.06   11.39   4.78   -3.22   
