survived,pclass,sex,age,sibsp,fare,class,who,adult_male,deck,embark_town,alive,alone
0,3,male,22,1,7.25,Third,man,TRUE,,Southampton,no,FALSE
1,1,female,38,1,71.2833,First,woman,FALSE,C,Cherbourg,yes,FALSE
1,3,female,26,0,7.925,Third,woman,FALSE,,Southampton,yes,TRUE
1,1,female,35,1,53.1,First,woman,FALSE,C,Southampton,yes,FALSE
0,3,male,35,0,8.05,Third,man,TRUE,,Southampton,no,TRUE
0,3,male,,0,8.4583,Third,man,TRUE,,Queenstown,no,TRUE
0,1,male,54,0,51.8625,First,man,TRUE,E,Southampton,no,TRUE
0,3,male,2,3,21.075,Third,child,FALSE,,Southampton,no,FALSE
1,3,female,27,0,11.1333,Third,woman,FALSE,,Southampton,yes,FALSE
1,2,female,14,1,30.0708,Second,child,FALSE,,Cherbourg,yes,FALSE
1,3,female,4,1,16.7,Third,child,FALSE,G,Southampton,yes,FALSE
1,1,female,58,0,26.55,First,woman,FALSE,C,Southampton,yes,TRUE
0,3,male,20,0,8.05,Third,man,TRUE,,Southampton,no,TRUE
0,3,male,39,1,31.275,Third,man,TRUE,,Southampton,no,FALSE
0,3,female,14,0,7.8542,Third,child,FALSE,,Southampton,no,TRUE
1,2,female,55,0,16,Second,woman,FALSE,,Southampton,yes,TRUE
0,3,male,2,4,29.125,Third,child,FALSE,,Queenstown,no,FALSE
1,2,male,,0,13,Second,man,TRUE,,Southampton,yes,TRUE
0,3,female,31,1,18,Third,woman,FALSE,,Southampton,no,FALSE
1,3,female,,0,7.225,Third,woman,FALSE,,Cherbourg,yes,TRUE
0,2,male,35,0,26,Second,man,TRUE,,Southampton,no,TRUE
1,2,male,34,0,13,Second,man,TRUE,D,Southampton,yes,TRUE
1,3,female,15,0,8.0292,Third,child,FALSE,,Queenstown,yes,TRUE
1,1,male,28,0,35.5,First,man,TRUE,A,Southampton,yes,TRUE
0,3,female,8,3,21.075,Third,child,FALSE,,Southampton,no,FALSE
1,3,female,38,1,31.3875,Third,woman,FALSE,,Southampton,yes,FALSE
0,3,male,,0,7.225,Third,man,TRUE,,Cherbourg,no,TRUE
0,1,male,19,3,263,First,man,TRUE,C,Southampton,no,FALSE
